,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
3,OXYP34.SA,Occidental Petroleum Corporation,46.30,-0.70,-1.49%,10,159,82.977B,N/A
4,601225.SS,Shaanxi Coal Industry Company Limited,8.37,+0.17,+2.07%,56.462M,22.487M,83.7B,7.34
5,SOLBE1.JO,Sasol Limited,"9,500.00",0.00,0.00%,9,283,88.746B,N/A
6,ENB.TO,Enbridge Inc.,40.71,-0.07,-0.17%,"501,921",6.883M,82.442B,41.54
7,BPAQF,BP p.l.c.,3.8900,-0.0700,-1.77%,436,"20,162",76.685B,N/A
8,OJSCY,Public Joint Stock Company Rosneft Oil Company,5.05,0.00,0.00%,"1,395","1,610",54.521B,3.06
9,ENB-PY.TO,Enbridge Inc.,11.53,-0.05,-0.43%,"2,300","21,242",77.186B,11.77
10,BP,BP p.l.c.,23.06,+0.03,+0.15%,2.571M,12.247M,78.184B,N/A
11,ENB-PJ.TO,Enbridge Inc.,12.60,+0.01,+0.08%,800,"8,527",75.036B,12.86
12,CNE.L,Cairn Energy PLC,126.00,+0.10,+0.08%,"568,642",1.359M,742.837M,7.92
13,CNU.TO,CNOOC Limited,156.12,+3.99,+2.62%,44,50,71.248B,13.58
14,ENB-PP.TO,Enbridge Inc.,12.25,+0.02,+0.16%,"3,603","17,563",73.415B,12.50
15,053620.KQ,TAEYANG Corporation,"9,000.00",0.00,0.00%,"5,416","9,697",71.649B,N/A
16,8131.T,"Mitsuuroko Group Holdings Co.,Ltd.","1,139.00",-14.00,-1.21%,"48,200","38,467",70.583B,19.90
17,SNPMF,China Petroleum & Chemical Corporation,0.4275,0.0000,0.00%,"2,001","77,254",68.765B,4.70
18,BPE.DE,BP p.l.c.,3.4700,-0.0700,-1.98%,"1,255","24,820",67.652B,N/A
19,BPE.F,BP p.l.c.,3.4700,-0.0500,-1.42%,200,"8,563",68.036B,N/A
20,BPE5.F,BP p.l.c.,3.4160,-0.0465,-1.34%,"310,403","103,399",68.09B,N/A
21,DGOC.L,Diversified Gas & Oil PLC,97.10,+0.90,+0.94%,"659,564",2.17M,686.709M,6.47
22,BPE5.DE,BP p.l.c.,3.4090,-0.0525,-1.52%,2.575M,1.46M,67.97B,N/A
23,BSU.SG,BP p.l.c.,20.40,+0.20,+0.99%,0,48,69.7B,N/A
24,CSUAY,China Shenhua Energy Company Limited,7.08,-0.04,-0.56%,"1,142","61,300",68.928B,4.99
25,SNP,China Petroleum & Chemical Corporation,44.50,+0.36,+0.82%,"33,879","210,259",69.326B,4.89
26,IKFC.F,China Shenhua Energy Company Limited,6.16,-0.08,-1.27%,N/A,0,60.508B,N/A
27,2883.HK,China Oilfield Services Limited,7.100,-0.150,-2.07%,16.669M,16.941M,66.801B,12.12
28,AKERBP.OL,Aker BP ASA,183.40,-2.10,-1.13%,"789,869",1.71M,65.953B,N/A
29,OGZPY,Public Joint Stock Company Gazprom,5.56,+0.07,+1.21%,"52,726","501,859",66.485B,1.66
